ano,numero,disciplina,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,gabarito,categoria_disciplina
2017,7,PROCESSO ADMINISTRATIVO E PENAL,"Julgue os itens abaixo e, em seguida, escolha a alternativa adequada consoante ao que preconiza a ICC PM/BM 02/14, o CPM e o CPPM:

I - Crimes propriamente militares na esfera estadual em MG são aqueles cuja prática não seria possível senão por militar.

II - Os crimes propriamente militares na esfera estadual em MG são infrações penais cujo tipo de ilícito está previsto exclusivamente no CPM.

III - São crimes impropriamente militares aqueles tipificados na Parte Especial do CPM, com igual definição na lei penal comum, quando praticado por militar da ativa ou reconvocado para o serviço ativo contra militar na mesma situação ou assemelhado.

IV - Qualquer pessoa poderá e os militares deverão prender quem for encontrado em flagrante delito, mesmo que o crime seja propriamente militar.",Todos os itens são verdadeiros.,Todos os itens são falsos.,Apenas um item é verdadeiro.,Apenas um item é falso.,D,Legislação Criminal e Administrativa Disciplinar
2017,8,PROCESSO ADMINISTRATIVO E PENAL,"A respeito do crime de deserção e em atenção ao estabelecido pela ITC 01/12 CCBM, assinale a alternativa INCORRETA:",O crime de deserção se consuma a partir do primeiro minuto depois de decorrido o prazo de graça de oito dias úteis de ausência do militar.,"Antes de exaurido o prazo de graça não há desertor e sim ausente, contra quem devem ser tomadas providências administrativas disciplinares para posterior aplicação de sanção disciplinar.",Passadas vinte e quatro horas da ausência do militar o comandante imediato expede a Parte de Ausência para o Comandante da Unidade.,As Unidades devem remeter informações sobre o militar ausente à CCBM a partir da constatação de sua ausência às suas funções.,A,Legislação Criminal e Administrativa Disciplinar
2017,9,PROCESSO ADMINISTRATIVO E PENAL,O Inquérito Policial Militar pode ser iniciado pelas seguintes maneiras. Marque a alternativa INCORRETA:,"De ofício, pela autoridade militar em cujo âmbito de jurisdição ou comando haja ocorrido a infração penal, atendida a hierarquia do infrator.",Em virtude de requisição do Ministério Público.,"A requerimento da parte ofendida ou de quem legalmente a represente, ou em virtude de representação devidamente autorizada de quem tenha conhecimento de infração penal, cuja repressão caiba à Justiça Militar.","Quando, de sindicância feita em âmbito de jurisdição militar, resulte indício da existência de infração transgressão disciplinar de natureza grave.",D,Legislação Criminal e Administrativa Disciplinar
2017,10,PROCESSO ADMINISTRATIVO E PENAL,"Considere a seguinte situação hipotética:

Um militar deixou de se apresentar para o serviço no dia 11 de outubro de 2016 e retornou sem fornecer justificativa para o afastamento em 19 de outubro de 2016. No tocante a contagem de prazo para configuração do crime de deserção e em atenção ao estabelecido pela ITC n. 01/12 CCBM, assinale a alternativa INCORRETA:",No dia 11/10/16 ele era considerado ausente.,No dia 19/10/16 ele já havia consumado o crime de deserção.,No dia 16/10/16 ele estava no prazo de graça.,O dia 11/10/16 deve ser desconsiderado na contagem do prazo de oito dias para consumação do crime de deserção.,B,Legislação Criminal e Administrativa Disciplinar
2017,11,LEGISLAÇÃO BÁSICA,"Com relação à Lei 14.310, de 19 de junho de 2002, todas as alternativas estão corretas, EXCETO:","O militar que cometer uma transgressão disciplinar e for penalizado com alguma sanção disciplinar poderá sofrer, também, aplicação de medidas tais como movimentação de unidade ou fração; o cancelamento de matrícula, com desligamento de curso, estágio ou exame; e destituição de cargo, função ou comissão.",Um militar da reserva remunerada dirigindo embriagado ... enquadrado ... em transgressão de natureza grave.,"Um militar da companhia de prevenção, aproveitando o retorno de uma vistoria, parou em uma loja de artigos escolares para comprar os materiais escolares de sua filha, estando de serviço e de posse de uma viatura da Corporação. Nesse caso, o militar cometeu transgressão disciplinar de natureza grave, segundo o Código de Ética.",Entrar ou tentar entrar em repartição ... acessar ... sistema informatizado ... consiste em transgressão disciplinar de natureza grave ...,D,Legislação Básica
2017,12,LEGISLAÇÃO BÁSICA,"Com base na Resolução 680 ... Diretrizes de Ensino Profissional ... todas corretas, EXCETO:",É considerado em Avaliação Especial o discente ... até cinco disciplinas ...,"O discente que faltar a qualquer avaliação, por motivo justificado, poderá realizá-la em segunda chamada, em data programada pela Unidade de Ensino. Contudo, será computado para fins de nota apenas sessenta por cento do valor da avaliação, ainda que o discente alcance maior nota.","O Ensino Profissional será desenvolvido ... presencial, à distância e semipresencial.","O Curso de Formação de Sargentos ... modalidade presencial, com duração mínima de nove meses.",B,Legislação Básica
2017,13,LEGISLAÇÃO BÁSICA,"Com base na ITRH 262, de 30jun16 que dispõe sobre procedimentos e providências da administração de Recursos Humanos para autorização de Bombeiro Militar ausentar do país, no interesse particular, sem ônus para o Estado, assinale a alternativa, CORRETA:","Os prazos mínimos ... 90 dias ... 30 dias, para os demais militares.","O militar requerente deverá ser cientificado do deferimento ou indeferimento, com pelo menos 15 dias de antecedência à viagem.","Em relação aos militares lotados no CSM, CAT e CTS ... ato de autorização será assinado pelo respectivo Diretor ...",O Chefe direto do militar deverá encaminhar o requerimento à DRH ... emitindo parecer ...,C,Legislação Básica
2017,14,LEGISLAÇÃO BÁSICA,"Considerando o contido na Lei 5.301 de 1969 – EMEMG, na Lei 10.366 de 1990 – IPSM, na Lei Delegada 37 de 1989 – Reestrutura a remuneração do pessoal da PMMG e no Livro IV da Lei Complementar 59 de 2001- Da Justiça Militar Estadual, pode-se concluir que as alternativas abaixo são verdadeiras, EXCETO:",João Patrício ... poderá concorrer ... CHO.,"São segurados do IPSM, em caráter compulsório ...",Remuneração é o quantitativo devido ao militar da ativa ...,Compete à Justiça Militar processar e julgar ...,A,Legislação Básica
2017,15,LEGISLAÇÃO BÁSICA,"De acordo com a Lei Delegada 37 ... todas as alternativas podem ser consideradas corretas, EXCETO:",Ajuda-de-Custo quando for transferido para a inatividade ...,Quando movimentado por conveniência do serviço ... direito a transporte ...,"A família do militar que falecer em serviço ativo terá, dentro de 1 ano do óbito, direito a transporte ...",Auxílio-Funeral é o quantitativo em dinheiro destinado a indenizar o militar por despesas com sepultamento de seus dependentes.,D,Legislação Básica
2017,16,LEGISLAÇÃO BÁSICA,"Substituição temporária é a situação em que se encontra o militar no exercício de cargo privativo de posto ou graduação superior ao seu. Considerando as disposições da Resolução 426, de 10 de junho de 2011, assinale a única alternativa ERRADA:",O Aspirante-a-Oficial só concorre à substituição temporária após concluir o período de estágio.,Nos cargos ... Chefia de Seção ... as substituições só poderão recair sobre Oficiais.,Os militares da reserva remunerada designados para o serviço ativo concorrem às substituições temporárias ...,Para a substituição temporária do Subcomandante ... designado o Oficial mais antigo ...,C,Legislação Básica
2017,17,LEGISLAÇÃO BÁSICA,"A Comissão de Promoção de Praças (CPP), designada pelo Comandante-Geral, é órgão consultivo, decisório e instrutivo, competindo-lhe organizar os Quadros de Acesso (QA) e emitir parecer sobre assuntos relativos às promoções de praças. Marque a única alternativa ERRADA, sobre a CPP, conforme previsão no Decreto 46.298/13 (RPP):",A CPP só poderá deliberar com a totalidade de seus membros ...,"Será composta por, no mínimo, dez oficiais superiores ...",Os trabalhos da CPP são de caráter sigiloso.,"O Presidente, além do voto comum, terá direito ao voto de qualidade.",A,Legislação Básica
2017,18,LEGISLAÇÃO BÁSICA,"Com relação às prescrições existentes na Resolução 485, de 11 de outubro de 2012, que aprova o Regulamento de Uniformes e Insígnias do CBMMG, todas as alternativas abaixo estão corretas, EXCETO:",A ABM poderá baixar normas referentes à apresentação pessoal de seus discentes.,Aos militares lotados no SICORBOM a indenização de fardamento é extensiva a aquisição de trajes civis ...,O militar fardado pode fazer uso de adornos ...,Aos Bombeiros Militares que prestam serviço na Corregedoria é autorizado o uso de colete ...,D,Legislação Básica
2017,19,LEGISLAÇÃO BÁSICA,"A Instrução Conjunta de Corregedorias 01, de 03 de fevereiro de 2014 estabelece padronização sobre as atividades administrativas e disciplinares no âmbito da PMMG e do CBMMG. Marque, dentre as alternativas abaixo, a única considerada ERRADA:",Infração de trânsito ... viatura ... constitui ... transgressão disciplinar ... desídia ...,Interior de viaturas e postos ... prática do fumo é vedada.,Militar fardado ingerindo bebida alcoólica ... pode se enquadrar ... deixar de observar princípios de boa educação ...,Na apresentação à Justiça Militar ... deverá o militar apresentar-se em trajes civis ...,D,Legislação Básica
2017,20,LEGISLAÇÃO BÁSICA,"A ITRH 225, de 30 de dezembro de 2009, estabelece orientações e diretrizes às Unidades de Administração de Recursos Humanos visando uniformização e padronização de procedimentos para a concessão e lançamentos de férias anuais e prêmio aos militares da Instituição. Todas as assertivas abaixo estão em consonância com o texto da referida ITRH, EXCETO:",As férias anuais relativas ao último ano ... cumulativamente ...,Não havendo o cômputo de 30 anos ... férias prêmio ... à proporção ...,Militar transferido ... Unidade de destino deverá adequar o gozo ... mesmo que exceda o percentual ...,Serão computados como tempo de efetivo serviço ... recessos escolares ...,B,Legislação Básica
2017,21,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes ao Decreto Estadual 44.746/2008:",Apenas uma afirmativa é falsa.,Apenas duas afirmativas são falsas.,Apenas uma afirmativa é verdadeira.,Todas as afirmativas são falsas.,B,Conhecimentos Profissionais
2017,22,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes à Instrução Técnica 33 (Eventos Temporários), e marque a afirmativa INCORRETA:",Evento de risco alto é aquele com público entre 10.001 e 40.000 pessoas.,Todos os eventos classificados a partir do risco alto deverão contar com equipe de brigadistas ...,Para os eventos classificados como risco baixo não haverá necessidade de apresentação de Projeto Técnico ...,Para os eventos especiais ... protocolados ... com no mínimo 15 dias úteis ...,B,Conhecimentos Profissionais
2017,23,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes à Instrução Técnica Operacional 24 (Operações em Distúrbios Civis):",Apenas uma afirmativa é verdadeira.,Apenas duas afirmativas são verdadeiras.,Apenas uma afirmativa é falsa.,Todas as afirmativas são verdadeiras.,D,Conhecimentos Profissionais
2017,24,CONHECIMENTOS PROFISSIONAIS,"De acordo com a Instrução Técnica 01 (Procedimentos Administrativos), assinale a alternativa INCORRETA:",As medidas de segurança contra incêndio e pânico nas edificações e áreas de risco devem ser apresentadas ao CBMMG para regularização por meio de: Projeto Técnico; Procedimento Administrativo Simplificado e Projeto Técnico para Eventos Temporários.,O Projeto Técnico deve ser utilizado para apresentação das medidas contra incêndio e pânico das edificações ou áreas de risco nos locais de reunião de público com população acima de 100 (cem) pessoas.,O Procedimento Administrativo Simplificado se divide em: Projeto Técnico Simplificado e Procedimento Simplificado.,"O AVCB tem validade de 02 (dois) anos para os locais de reunião de público e 05 (cinco) anos para as demais ocupações, desde que a edificação e área de risco permaneçam com as medidas de segurança contra incêndio e pânico previstas no projeto em condições de utilização e manutenção adequadas.",D,Conhecimentos Profissionais
2017,25,CONHECIMENTOS PROFISSIONAIS,"De acordo com a Instrução Técnica 01 (Procedimentos Administrativos), assinale a alternativa INCORRETA:",O Projeto Técnico Simplificado aplica-se às edificações e/ou áreas de risco com área até 750 m² que não se enquadrem nos requisitos do Projeto Técnico.,"Quando constatado risco iminente que enseja em interdição do estabelecimento ou área de risco, a cassação do AVCB poderá ocorrer após o ato de interdição, caso a ocupação permaneça em situação de risco.","No que diz respeito à solicitação de vistoria, deve ser observado pelo Serviço de Segurança Contra Incêndio e Pânico a ordem cronológica do número sequencial de entrada para a realização da vistoria, não podendo esta ordem ser alterada.","O pedido de vistoria poderá ser cancelado pelo proprietário ou responsável pelo uso, mediante solicitação com justificativa, podendo solicitar a restituição da Taxa de Segurança Pública paga pelo serviço.",C,Conhecimentos Profissionais
2017,26,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes à Instrução Técnica 08 (Saídas de Emergências em Edificações):",Apenas uma afirmativa é verdadeira.,Apenas duas afirmativas são verdadeiras.,Apenas uma afirmativa é falsa.,Todas as afirmativas são verdadeiras.,D,Conhecimentos Profissionais
2017,27,CONHECIMENTOS PROFISSIONAIS,"De acordo com a Instrução Técnica Operacional 25 (Padronização do Registro de Eventos do Corpo de Bombeiros Militar), assinale a alternativa INCORRETA:",São utilizados ... 05 relatórios operacionais ... e 01 relatório administrativo ...,Responsabilidade do relator alterar a natureza no REDS quando divergente.,REDS/RAT deve ser confeccionado durante o turno ... exceção ... 48 horas ...,Em comboio ... responsabilidade ... militar mais antigo da GUBM ...,C,Conhecimentos Profissionais
2017,28,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes ao livro ""Capacitação Básica em Defesa Civil – 5ª edição, revisado, ampliado e atualizado"":",Apenas uma afirmativa é verdadeira.,Apenas duas afirmativas são verdadeiras.,Apenas uma afirmativa é falsa.,Todas as afirmativas são verdadeiras.,C,Conhecimentos Profissionais
2017,29,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes ao livro ""Capacitação Básica em Defesa Civil - 5ª edição, revisado, ampliado e atualizado"", e assinale a alternativa INCORRETA:",Ciclo de gestão ... quatro fases ...,Exemplos de Preparação: planos de contingência; exercícios simulados; capacitações e treinamentos.,Classificação dos desastres quanto à: intensidade; evolução; origem e periodicidade.,Desastres tecnológicos ... condições tecnológicas ou industriais ...,A,Conhecimentos Profissionais
2017,30,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes ao Sistema de Comando em Operações (SCO), previsto no Manual de Gerenciamento de Desastres:",Apenas uma afirmativa é verdadeira.,Apenas duas afirmativas são verdadeiras.,Apenas uma afirmativa é falsa.,Todas as afirmativas são verdadeiras.,B,Conhecimentos Profissionais
2017,31,CONHECIMENTOS PROFISSIONAIS,"Analise as afirmativas abaixo, referentes ao Sistema de Comando em Operações (SCO), previsto no Manual de Gerenciamento de Desastres, e assinale a alternativa INCORRETA:",Zonas de trabalho: área quente; morna; fria. Todas fazem parte do teatro de operações.,Estrutura organizacional básica: Comando; Staff/Assessoria de Comando; Staff Geral/Principal.,O SCO deve ser utilizado desde os primeiros minutos ... três grandes etapas ...,Posto de Comando deve ser instalado na área quente.,D,Conhecimentos Profissionais
2017,32,CONHECIMENTOS PROFISSIONAIS,"Conforme prescrito no manual de Combate a Incêndio em Edifícios Altos do CBMSP, decidido explorar o local, as equipes, após serem divididas e alocadas devem proceder a busca e exploração, devendo atentar para os seguintes princípios, EXCETO:",Dividir equipes em: combate a incêndio e busca e salvamento.,EPI e EPR obrigatórios.,Jamais equipe de busca inicia sem que combate tenha localizado o foco ...,Confiar nas informações verbais da população do prédio ...,D,Conhecimentos Profissionais
2017,33,CONHECIMENTOS PROFISSIONAIS,"Conforme prescrito no manual de Combate a Incêndio em Edifícios Altos do CBMSP a primeira equipe deve concentrar a exploração na localização do foco ou focos de incêndio. Isto, à despeito do conceito do SICER, que significa:","Salvamento, Isolamento, Combate, Extinção e Rescaldo.","Do inglês: Localizar, Estabilizar e Resgatar a vítima.","Salvamento, Isolamento, Confinamento, Extinção e Rescaldo.",Do Inglês: Sistema de Incidentes e Resgate.,C,Conhecimentos Profissionais
2017,34,CONHECIMENTOS PROFISSIONAIS,"Conforme prescrito no manual de Combate a Incêndio em Edifícios Altos do CBMSP a equipe de busca, exploração e salvamento deverá seguir os seguintes princípios, EXCETO:",Trabalhar no mínimo em dupla ... cabo da vida ... e ligada por uma corda ...,"Interrompida a comunicação ... tentar restabelecer ... não obtendo êxito, retornar ao ponto de partida.",Explorar o ambiente passo a passo ... sinalizar adequadamente o local.,"Não prosseguir sem certificar-se de rotas ... manter portas pelas quais passar fechadas, mas destrancadas ...",D,Conhecimentos Profissionais
2017,35,CONHECIMENTOS PROFISSIONAIS,Conforme prescrito no manual de combate a incêndio do CBMDF - MÓDULO 01 - qual o conceito de zona de reação?,Local onde ocorre a decomposição química de uma substância mediante ação do calor.,É a área em que o combustível (na forma gasosa) irá se misturar - difundir - ao oxigênio.,É o ponto onde a energia mínima para fazer com que o material combustível entre em decomposição ocorre.,Calor inicial que quebra as moléculas do combustível ...,B,Conhecimentos Profissionais
2017,36,CONHECIMENTOS PROFISSIONAIS,"Conforme prescrito no manual de combate a incêndio do CBMDF - MÓDULO 01 - sobre generalização do incêndio, assinale as alternativas abaixo com ""V"" quando julgar o conceito Verdadeiro e com ""F"" quando julgar o conceito Falso:

( ) O calor, que é irradiado do teto e das paredes altas dentro do compartimento em chamas, conduz os gases e a mobília presente no ambiente a uma temperatura de auto-ignição, a qual culmina no backdraft.
( ) Em um incêndio estrutural, as menores diferenças de altura implicam em grandes diferenças de temperatura.
( ) Flashover é a generalização do incêndio em um ambiente, quando todos os materiais presentes entram em ignição quase simultaneamente.
( ) Considerando que a temperatura na camada de fumaça pode atingir 1000°C, é importante que os bombeiros estejam o mais próximo do nível do solo, o que implica a necessidade de se trabalhar agachado ou ajoelhado.

A sequência correta para a questão é:",F- V- V- F.,V- V- F- V.,F- F- V- V.,V- V- V- F.,C,Conhecimentos Profissionais
2017,37,CONHECIMENTOS PROFISSIONAIS,"Como ""altura"" incluímos todos os locais de trabalho em que o homem não possa estar apoiado diretamente sobre o plano do terreno. Assim, de acordo com o manual de Salvamento em Altura, volume 01, consideramos pertencer a este grupo, EXCETO:","Trabalhos em torres, árvores e lado externo das edificações.","Trabalhos em que o homem opera suspenso no ar, preso apenas por cabos e cordas.","Trabalhos em espaço confinado, com auxílio de cabos, cordas e polias.","Trabalhos em profundidades, tais como poços, valas e similares.",C,Conhecimentos Profissionais
2017,38,CONHECIMENTOS PROFISSIONAIS,"De acordo com o manual de Salvamento em Altura, volume 1, define-se como corda dinâmica:",Elasticidade de aproximadamente 6 a 10% ...,Elasticidade de aproximadamente 1 a 2% ...,Elasticidade de aproximadamente 2 a 10% ...,Elasticidade de aproximadamente 1 a 10% ...,A,Conhecimentos Profissionais
2017,39,CONHECIMENTOS PROFISSIONAIS,"De acordo com a ITO 06, são medidas de segurança do operador, EXCETO:",Uso de EPI conforme NR-06.,Operador trabalhar ancorado com cabos solteiros ...,Todo equipamento deverá trabalhar amarrado e ancorado.,Adotar procedimentos para que não se lesione ...,C,Conhecimentos Profissionais
2017,40,CONHECIMENTOS PROFISSIONAIS,"Conforme prescrito no manual de combate a incêndio do CBMDF - MÓDULO 01 - sobre ignição da fumaça, assinale as alternativas abaixo com ""V"" quando julgar o conceito Verdadeiro e com ""F"" quando julgar o conceito Falso:

( ) Paul Grimwood define ignição da fumaça como a ignição de gases e produtos acumulados do incêndio, que possuem energia suficiente para inflamarem-se ou que se inflamam ao entrar em contato com fonte de calor.
( ) A ignição da fumaça pode ser causada pela mistura de fumaça aquecida com o ar, mas diferencia-se do backdraft, pois o movimento é da fumaça em direção ao ar, e não o contrário.
( ) Uma das medidas mais eficientes para evitar a ignição da fumaça é permitir o seu acúmulo no ambiente, ainda que as chamas já tenham sido debeladas. Isso exigirá um cuidado constante por parte dos bombeiros, inclusive na fase do rescaldo.
( ) Um dos fatores que pode provocar ignição da fumaça é o uso incorreto da ventilação de pressão positiva.

A sequência correta para a questão é:",V- V- F- V.,V- F- F- V.,V- F- V- V.,V- F- V- F.,A,Conhecimentos Profissionais
2018,4,PROCESSO ADMINISTRATIVO E PENAL,"Acerca da Instrução Técnica de Corregedoria (ITC) nº 01/2012 – CCBM, (estabelece procedimentos acerca da elaboração de Processos de Deserção, no âmbito do CBMMG), marque a opção INCORRETA:","O militar com estabilidade, que se apresentar ou for capturado, deverá ser submetido à inspeção de saúde e, quando julgado apto para o serviço, será reincluído.","Concluído o Processo de Deserção, este deverá ser encaminhado à 1ª AJME, permanecendo arquivada, na Unidade de origem do ausente, cópia de toda documentação.","Apresentando-se na Unidade ou sendo capturado, o militar desertor deverá ser ouvido, sendo seu termo de audição encaminhado, com urgência, à 1ª AJME ou Juiz de plantão, ficando o militar preso, à disposição da Justiça Militar.","Quando se tratar de militar com estabilidade, o B/1 da Unidade deverá requerer a DRH a reversão ao serviço ativo, se praça, e submetê-lo à inspeção de saúde (se for o caso).",A,Legislação Criminal e Administrativa Disciplinar
2018,5,PROCESSO ADMINISTRATIVO E PENAL,"O ""habeas corpus"" é um remédio Constitucional, previsto no artigo 5º, inciso LXVIII, da Constituição Federal, que tem como objetivo proteger aquele que está sob ameaça de violência ou coação na sua liberdade de locomoção. Em todas as situações o paciente será protegido pelo ""habeas corpus"", EXCETO:",Subtenente ameaçado de morte em virtude de sua atuação como vistoriador.,Primeiro-Sargento preso em flagrante delito por provas ilícitas.,Segundo-Sargento preso ilegalmente em virtude de punição disciplinar.,Cabo preso em flagrante delito por crime de pensão alimentícia já descontada em folha de pagamento.,D,Legislação Criminal e Administrativa Disciplinar
2018,6,PROCESSO ADMINISTRATIVO E PENAL,"No dia 10 de junho de 2017, durante patrulhamento aos postos de sentinela da Academia de Bombeiros Militar, Cabo Mendonça se depara com o Soldado BM Alberto e Sargento BM Naldo em ato libidinoso com duas Soldados de 2ª Classe BM, militares do Curso de Formação de Soldados, dentro do ambiente militar. Entretanto, por indulgência e negligência, Cabo Mendonça não adota nenhuma atitude e não comunica o fato a seus superiores. Dessa maneira, Cabo Mendonça cometeu o crime militar de:",Condescendência criminosa.,Prevaricação.,Omissão.,Pederastia na modalidade culposa.,C,Legislação Criminal e Administrativa Disciplinar
2018,7,PROCESSO ADMINISTRATIVO E PENAL,"Considera-se situação de flagrante delito perante o Código de Processo Penal Militar, EXCETO:",Quem é perseguido logo após o fato delituoso em situação que faça acreditar ser ele o seu autor.,Quem acaba de cometer crime.,Quem está cometendo infração penal.,"Quem é encontrado, logo após, com instrumentos, objetos, que façam presumir a sua participação no fato delituoso.",A,Legislação Criminal e Administrativa Disciplinar
2018,8,PROCESSO ADMINISTRATIVO E PENAL,"Exclusão de ilicitude, prevista no artigo 23 do Código Penal, são situações que afastam a ilegalidade de um ato e ausenta o agente que pratica o ato do crime. Em todas as situações abaixo o agente está amparado pela legítima defesa, EXCETO:",Sentinela ao atirar em pessoa armada que invade o quartel.,Chefe de Guarnição ao sacrificar cachorro durante a ocorrência de captura de animal que se solta e vem atacá-lo.,Bombeiro Militar de folga que durante assalto alveja o infrator que portava arma branca.,Combatente que mata cachorro que o ataca após provocação do dono do animal.,C,Legislação Criminal e Administrativa Disciplinar
2018,9,PROCESSO ADMINISTRATIVO E PENAL,"De acordo com o previsto na Lei nº 4.898, de 09/12/1965, o abuso de autoridade sujeitará o seu autor à sanção administrativa civil e penal. A sanção administrativa será aplicada de acordo com a gravidade do abuso e consistirá nas situações abaixo, EXCETO:",Advertência.,"Demissão, a bem do serviço público.","Suspensão do cargo, função ou posto por prazo de cento e oitenta a trezentos e sessenta e cinco dias, com perda de vencimentos e vantagens.",Destituição de função.,B,Legislação Criminal e Administrativa Disciplinar
2018,10,PROCESSO ADMINISTRATIVO E PENAL,Lei nº 4.898/1965 ... sanção administrativa ... EXCETO:,Advertência.,"Demissão, a bem do serviço público.",Suspensão do cargo ... 180 a 365 dias ...,Destituição de função.,C,Legislação Criminal e Administrativa Disciplinar
2018,11,LEGISLAÇÃO BÁSICA,"Sobre o Regulamento de Continências - RCONT, julgue as afirmativas a seguir e marque a alternativa correspondente:

( ) Todo militar, quando for chamado por um superior, deve atendê-lo o mais rápido possível, apressando o passo quando em deslocamento.
( ) A praça faz alto para a continência ao Comandante, Chefe ou Diretor de Organização Militar a que for subordinado, diariamente, na primeira vez que o encontrar no interior de sua organização.
( ) Os militares em serviço policial ou de segurança poderão ser dispensados dos procedimentos sobre continência individual.
( ) A Bandeira Nacional pode ser hasteada e arriada a qualquer hora do dia ou da noite.","V, V, V, V.","V, F, V, V.","V, V, V, F.","V, F, V, F.",A,Legislação Básica
2018,12,LEGISLAÇÃO BÁSICA,"A respeito das transgressões disciplinares, nos termos do que preconiza a Lei nº 14.310/2002, que dispõe sobre o Código de Ética e disciplina dos Militares do Estado de Minas Gerais, é CORRETO afirmar:","Podem ser classificadas em leve, média ou grave e a pontuação pode ser atenuada ou agravada a critério da autoridade sancionadora, no uso do poder discricionário.",Distinguem-se das infrações penais porque aquelas relacionam-se aos bens jurídicos tutelados exclusivamente pelo Código Penal Militar.,"É uma das causas de justificação ter sido cometida a transgressão em obediência à ordem de superior, ainda que ilegal.","É uma circunstância atenuante ter o agente confessado espontaneamente a autoria da transgressão, quando esta for ignorada ou imputada a outrem.",D,Legislação Básica
2018,13,LEGISLAÇÃO BÁSICA,"Consoante o que preconiza a Resolução nº 426, de 10jun11 e as alterações, é CORRETO afirmar:",Quando ocorre alteração no Comando da Diretoria de Recursos Humanos o Diretor substituto e o substituído mudam de cargo.,A substituição temporária só poderá ocorrer quando existir claro na previsão de efetivo da Unidade ou vacância de cargo por indisponibilidade do titular.,"Comandante é uma designação genérica dada ao militar mais graduado ou mais antigo, de cada Unidade exclusivamente operacional do CBMMG.","O Chefe do CSM possui um cargo que pode ser integrado por vários encargos, mas apenas por uma função.",B,Legislação Básica
2018,14,LEGISLAÇÃO BÁSICA,"Assinale a alternativa CORRETA, referente à Avaliação de Desempenho Individual nos termos da legislação em vigor no CBMMG:

A Avaliação Anual de Desempenho e Produtividade (AADP) é a avaliação a que todo bombeiro militar será submetido, observando-se critérios de desempenho específicos referentes à disciplina, habilidades profissionais, aptidão física e disponibilidade para o trabalho. No critério disponibilidade para o trabalho, para o cômputo dos dias efetivamente trabalhados, NÃO serão considerados os seguintes dias de afastamento:","Licença médica, com afastamento total das atividades, sem amparo em AO.",Licença por motivo de doença em pessoa da família.,Afastamento para candidatura a cargo público eletivo.,Licença maternidade seguidas de 03 meses de férias prêmio.,ANULADA,Legislação Básica
2018,15,LEGISLAÇÃO BÁSICA,"Com relação, à Constituição Estadual e as Emendas Constitucionais nº 39, de 02 junho 1999, nº 57 de 15 julho de 2003 e nº 59 de 19 dezembro de 2003, todas as alternativas estão corretas, EXCETO:",A partir de dois de junho de 1999 é que o Corpo de Bombeiros Militar de Minas Gerais passou a ser independente da Polícia Militar de Minas Gerais.,"A composição do Tribunal de Justiça Militar contém juízes Oficiais da ativa, do mais alto posto da PMMG ou do CBMMG e de juízes civis, em número ímpar, fixado na Lei de Organização e Divisão Judiciárias, sendo a maioria de civis em uma unidade.","O servidor e o militar na ativa na data de publicação destas emendas à Constituição poderão, por opção expressa e na forma da lei, substituir pelo sistema de adicional de desempenho a que se refere o art. 31 desta Constituição Estadual as vantagens por tempo de serviço que venham a ter direito a perceber.","Ao militar que tenha ingressado no serviço público estadual até a data da publicação desta emenda constitucional 59/1999 e que, nessa data, esteja no serviço ativo fica assegurada a percepção do adicional de 10% (dez por cento) sobre seu vencimento básico quando completar trinta anos de serviço ou, antes disso, se implementado o interstício necessário para a aposentadoria voluntária integral, o qual se incorpora ao vencimento para fins de aposentadoria.",ANULADA,Legislação Básica
2018,16,LEGISLAÇÃO BÁSICA,"Com relação à Resolução nº 436 de 12 de agosto de 2011 e suas alterações, todas as alternativas estão corretas, EXCETO:","Dos resultados das avaliações que compõem a ADI, caberá pedido de reconsideração à comissão de avaliação da AADP, no prazo máximo de 05 (cinco) dias úteis, contados a partir da notificação do militar avaliado.","Finda a reunião de deliberação sobre o pedido de reconsideração, a Comissão lavrará Ata e notificará o militar no prazo de 02 (dois) dias úteis.","Da deliberação que analisou o pedido de reconsideração, o militar poderá interpor um único recurso, no prazo máximo de 10 (dez) dias úteis, contados da notificação, à autoridade imediatamente superior ao militar mais antigo da Comissão.","A autoridade que receberá o recurso decidirá, no prazo máximo de 10 (dez) dias úteis, contados da data do recebimento do recurso, e notificará o militar de sua decisão.",C,Legislação Básica
